,Location ID,Field,Telescope,SDSS ID,nvisits,Bin ,Signal-to-noise,teff,Effective Temperature Error,logg,Log(g) Error,vscatter,vsini,RA,Dec,SLs,FE/H,FE/H Error,Radius [Solar Radii],"CO Mass [Solar Masses, Joker]","CO Mass [Solar Masses, Rotational Period]",Star Flags (spelled),ASPCAP Flags (spelled),J-Band Magnitude,J-Band Error,H-Band Magnitude,H-Band Error,K-Band Magnitude,K-Band Error,"Period [Joker, Seconds]",Eccentricity [Joker],"K [Joker, km/s]","Period [seconds, Rotational]",Percent Error Mass,Comments,,,,,,,
3167,4207,000+45,apo25m,2M15162162-0139522,3,1,115.51277,4898.8867,18.488441,3.7124462,0.054556623,20.89804,15.04527,229.090124,-1.664517,1,-1.4556,-1.4556,0.861,2.267038215,1.153893821,PERSIST_HIGH,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",11.873,0.026,11.392,0.023,11.345,0.023,225753.2639,0.018348128,114.5584237,250152.6093,49.101,,,,,,,,
3694,2240,090+36_MGA,apo25m,2M17180986+6105518,3,1,100.62423,4400.164,14.338888,4.240985,0.028998584,52.443325,30.81059,259.541093,61.097733,1,-0.24525,-0.24525,0.902,2.253023603,1.341498438,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN",11.952,0.022,11.4,0.023,11.245,0.019,159260.2638,0.003979598,126.86606,127970.0662,40.458,,,,,,,,
4630,4270,105+00,apo25m,2M22331751+5759568,3,1,159.46515,5605.402,29.200554,4.3812513,0.027764726,36.5089,27.327503,338.322961,57.999138,1,-0.1491,-0.1491,1.35,2.252548176,1.273369129,,"VMICRO_WARN,STAR_WARN,COLORTE_WARN",12.065,0.02,11.548,0.019,11.467,0.019,173254.628,0.051195018,126.3557207,215941.2891,43.47,,,,,,,,
1282,5169,LAMBDAORI-A,apo25m,2M05403062+0920387,3,1,95.66719,4573.072,15.284049,4.26626,0.027273778,3.8570745,13.791136,85.127598,9.344102,1,-0.1438,-0.1438,1.599,2.247742079,1.033393061,,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",11.341,0.024,10.79,0.024,10.637,0.021,151749.7971,0.055037756,132.0111211,506815.9735,54.025,,,,,,,,
1524,5083,180+12,apo25m,2M06361941+3556275,3,1,117.7625,4359.3486,13.557023,4.4088717,0.028011084,23.416113,12.011576,99.080915,35.940987,1,-0.28481,-0.28481,0.747,2.230229251,1.179942027,,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",12.493,0.02,11.83,0.022,11.702,0.018,175581.1203,0.002780949,121.3198183,271845.7076,47.093,,,,,,,,
581,5171,PLEIADES-E,apo25m,2M03493939+2317244,3,1,370.92935,5406.8105,21.636997,4.4906087,0.021144666,19.802546,10.090206,57.414159,23.290129,1,-0.11112,-0.11112,0.942,2.229536335,1.173617236,PERSIST_LOW,"VMICRO_WARN,N_M_WARN",9.693,0.02,9.364,0.024,9.256,0.02,134048.7831,0.112737969,140.6753548,408086.9827,47.36,,,,,,,,
2614,2326,154+62_MGA,apo25m,2M11291785+4853250,2,1,226.44943,5020.347,15.263416,4.342887,0.018696213,32.095776,44.218086,172.324408,48.890278,1,-0.047177,-0.047177,1.155,2.204205362,1.185263065,SUSPECT_ROTATION,"N_M_WARN,STAR_WARN,COLORTE_WARN",10.015,0.03,9.704,0.034,9.601,0.018,178084.005,0.171288267,130.6739553,114178.3903,46.227,Further confirmed by object copied,,,,,,,
335,5599,146-24_btx,apo25m,2M02270842+3423205,3,1,491.64426,4316.875,11.144343,3.7619848,0.023081332,46.65601,52.820198,36.785111,34.389034,1,-0.41347,-0.41347,3.1,2.190211744,1.392783464,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN,VSINI_WARN",9.717,0.023,9.145,0.023,8.994,0.02,192432.225,0.013607663,115.8553067,256544.9917,36.409,,,,,,,,
4580,2024,074-35_MGA,apo25m,2M22154170+1154386,4,2,648.3156,6329.254,52.45724,3.9768946,0.030664135,6.3538375,13.861176,333.923781,11.910725,1,-0.39148,-0.39148,1.638,6.891473646,1.056169596,,N_M_WARN,8.162,0.02,7.953,0.017,7.933,0.026,13499977.59,0.732284606,124.2994997,516553.9551,84.674,,,,,,,,
3543,2863,044+37_MGA,apo25m,2M16490009+2520563,2,2,94.27403,5667.39,37.4695,3.91206,0.03385247,1.9405267,13.125022,252.250392,25.348988,1,-0.20113,-0.20113,2.426,4.839173798,1.019449065,PERSIST_LOW,,10.886,0.021,10.546,0.021,10.457,0.015,133925.0427,0.090174638,258.8362108,807965.149,78.933,,,,,,,,
1830,2314,189+25_MGA,apo25m,2M07520003+3151264,3,2,180.63684,4590.564,11.999245,4.4468493,0.019973852,16.3523,61.958366,118.000131,31.857361,1,-0.098809,-0.098809,0.945,4.267591015,1.073868899,SUSPECT_ROTATION,"VMICRO_WARN,N_M_WARN,VSINI_WARN",11.474,0.018,10.984,0.022,10.857,0.018,172283.0795,0.007694583,210.9129316,66670.50189,74.837,,,,,,,,
4057,5011,K11_076+13,apo25m,2M19144573+4452299,4,2,169.6702,6430.022,52.99618,4.166011,0.027487146,1.5698469,15.363846,288.690548,44.874989,1,-0.12735,-0.12735,1.91,3.906142332,1.013733765,,,10.705,0.021,10.497,0.018,10.458,0.011,171542.5323,0.000340607,198.5343819,543419.5939,74.048,,,,,,,,
2912,2335,041+81_MGA,apo25m,2M13274631+2826206,3,2,102.49405,5695.7046,39.19763,4.4806757,0.03903332,6.635798,23.867119,201.942961,28.43907,1,-0.2906,-0.2906,1.348,3.851484826,1.045557511,,"VMICRO_WARN,N_M_WARN",10.788,0.021,10.502,0.024,10.429,0.017,167114.0705,0.010300403,199.356504,246883.3293,72.853,,,,,,,,
3921,5902,K2_C7_010-10_btx,apo25m,2M18500250-2513222,3,2,117.34052,6103.156,39.46383,4.411078,0.025278646,3.4268444,18.209585,282.510418,-25.222857,1,0.19944,0.19944,0.914,3.708668665,1.022282411,BRIGHT_NEIGHBOR,"LOGG_WARN,VMICRO_WARN,C_M_WARN,STAR_WARN",11.136,0.024,10.75,0.022,10.602,0.021,215693.2755,0.024803352,179.6882564,219405.7572,72.435,,,,,,,,
2455,2113,175+58_MGA,apo25m,2M10352052+4126261,3,2,172.14265,5676.0435,35.581215,4.164693,0.032889593,21.354092,12.050359,158.835524,41.44059,1,-0.47037,-0.47037,1.616,3.398484928,1.216339046,BRIGHT_NEIGHBOR,VMICRO_WARN,11.19,0.019,10.848,0.016,10.776,0.016,149871.825,0.177549273,207.3413184,586196.5292,64.209,,,,,,,,
927,5243,ORIONOB1AB-D,apo25m,2M05202650-0300325,3,2,82.54029,3493.741,7.4236197,4.402063,0.024170034,1.0901994,12.48533,80.110432,-3.009055,1,,,1.102,3.227874575,1.008479099,,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",12.848,0.024,12.095,0.024,11.712,0.019,362842.4927,0.034892645,137.0312904,385818.8485,68.757,,,,,,,,
2271,2105,178+42_MGA,apo25m,2M09124038+4200544,3,2,370.03415,6333.471,49.27667,3.8409092,0.027834406,4.090879,14.236392,138.168266,42.015118,1,-0.27191,-0.27191,2.095,3.150771129,1.038472128,,,9.519,0.022,9.337,0.016,9.258,0.014,173946.1693,0.062633999,174.2973065,643259.1332,67.041,,,,,,,,
2281,2662,193+43_MGA,apo25m,2M09155787+3134156,3,2,122.10188,5900.0815,38.50655,4.3741837,0.028384771,18.337357,14.076672,138.991165,31.571024,1,-0.074438,-0.074438,1.37,3.092327606,1.161932825,,"LOGG_WARN,VMICRO_WARN,STAR_WARN",11.539,0.019,11.177,0.022,11.115,0.019,171079.4071,0.010803981,168.0607016,425424.4515,62.425,,,,,,,,
2439,2169,168+55_MGA,apo25m,2M10291410+4618558,3,2,159.94435,5902.3823,31.44662,4.1952486,0.021570336,18.70796,17.254404,157.308768,46.315514,1,0.10652,0.10652,1.261,3.078412304,1.149048555,,VMICRO_WARN,11.391,0.021,11.1,0.016,11.055,0.013,141467.1913,0.089611292,185.9583754,319460.374,62.674,,,,,,,,
