,Field,Telescope,SDSS ID,nvisits,SNR,J_M,J_M_e,H_M,H_M_e,K_M,K_M_e,RA,Dec,Star Flags (bitwise),Star Flags (spelled),ASPCAP Flags (bitwise),ASPCAP Flags (spelled),teff,teff_e,logg,logg_e,vscatter,vsini,SLs,Fe_H,Fe_H_e,radius,P_joker,e_joker,K_joker,P_rsync,RHS_joker,RHS_rsync,CO_mass_joker,CO_mass_rsync
335,146-24_btx,apo25m,2M02270842+3423205,3.0,491.64426,9.717,0.023,9.145,0.023,8.994,0.02,36.785111,34.389034,8388608.0,SUSPECT_ROTATION,16452.0,"VMICRO_WARN,N_M_WARN,VSINI_WARN",4316.875,11.144343,3.7619848,0.023081332,46.65601,52.820198,1.0,-0.41347,-0.41347,3.1,192432.2250366211,0.013607663102447987,115.85530671438877,256544.9916797926,0.3514769510610973,0.03123798754258865,2.1902117441572306,1.3927834644542711
364,W34_btx,apo25m,2M02330715+6122567,4.0,51.993103,13.299,0.021,12.893,0.021,12.784,0.027,38.279823,61.382439,16777216.0,MTPFLUX_LT_75,0.0,,6381.9004,96.728485,4.036881,0.08410707,6.4984093,15.156539,1.0,-0.45325,-0.45325,1.83,158906.49032592773,0.12300269305706024,145.99658717434903,527779.9894365629,0.48692700064448724,0.00017364841592103228,2.4168402343145954,1.0579249197392537
375,150-30,apo25m,2M02353692+2614404,3.0,296.59854,10.572,0.024,10.206,0.025,10.099,0.022,38.903848,26.244574,8388608.0,SUSPECT_ROTATION,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4924.869,19.213041,4.289072,0.02895948,60.415054,41.171806,1.0,-0.57813,-0.57813,1.111,135249.66430664062,0.03816397860646248,185.7166427061463,117954.90710865526,0.9797988946405366,0.031185178730781984,3.1213095270290143,1.3925107592924715
487,146-04,apo25m,2M03305255+5238296,3.0,192.62169,11.616,0.019,11.228,0.028,11.107,0.023,52.718976,52.641567,0.0,,68.0,"VMICRO_WARN,N_M_WARN",6084.551,40.81245,4.222752,0.026986767,15.781855,10.339512,1.0,-0.25668,-0.25668,1.769,133473.3913421631,0.135331928730011,184.58564157700775,747876.1144824204,0.8092063755522186,0.003524524470314892,2.8912129913490388,1.1688683568359393
506,194-44_MGA,apo25m,2M03374148-0659308,4.0,347.68997,8.593,0.02,8.205,0.029,8.121,0.023,54.422872,-6.991902,8390656.0,"PERSIST_LOW,SUSPECT_ROTATION",16452.0,"VMICRO_WARN,N_M_WARN,VSINI_WARN",4926.8315,15.599407,4.471443,0.02123535,27.049774,51.01525,1.0,-0.19672,-0.19672,1.125,181360.00442504883,0.005564437247812748,124.64346218971565,96394.97053293756,0.41755310752501623,0.0022873994811443443,2.303754331061147,1.1441352227133548
527,194-44_MGA,apo25m,2M03424832-0543328,4.0,171.92778,11.243,0.026,10.937,0.023,10.798,0.019,55.701345,-5.725792,0.0,,644.0,"VMICRO_WARN,STAR_WARN,COLORTE_WARN",5997.1616,37.57722,4.0430655,0.027885122,57.516285,29.403566,1.0,-0.11406,-0.11406,1.415,169434.0431213379,0.004526514559984207,188.5162056673131,210357.64865254256,1.3517239549110565,0.04798743195299868,3.594518935664655,1.469760298331222
581,PLEIADES-E,apo25m,2M03493939+2317244,3.0,370.92935,9.693,0.02,9.364,0.024,9.256,0.02,57.414159,23.290129,2048.0,PERSIST_LOW,68.0,"VMICRO_WARN,N_M_WARN",5406.8105,21.636997,4.4906087,0.021144666,19.802546,10.090206,1.0,-0.11112,-0.11112,0.942,134048.78311157227,0.11273796856403351,140.6753548038142,408086.98267894203,0.3739310247118119,0.0037993784459354795,2.229536335283946,1.1736172355997236
594,158-12,apo25m,2M03534279+3708076,3.0,77.275375,12.843,0.024,12.19,0.031,12.009,0.023,58.428325,37.135471,0.0,,4.0,VMICRO_WARN,4900.2793,19.356867,4.4602795,0.027467087,20.716228,14.384672,1.0,-0.016727,-0.016727,1.129,161391.49475097656,0.026596076786518097,207.61480114455264,343080.3544601686,1.6629988084765797,0.003656997109800693,3.9709291455772933,1.1711837696666783
625,K2_C4_173-23_btx,apo25m,2M04035349+1904150,3.0,103.94241,9.177,0.021,8.724,0.021,8.636,0.017,60.972903,19.07086,8390656.0,"PERSIST_LOW,SUSPECT_ROTATION",708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4751.3945,18.246435,4.483417,0.029855907,1.2164427,35.768444,1.0,-0.2725,-0.2725,1.348,173283.38470458984,0.09555310755968094,221.48761587469932,164737.21363277984,1.9416752477811285,3.5551948329454673e-07,4.297781969868176,1.0071178215139098
705,158-04,apo25m,2M04244157+4331038,3.0,101.93587,12.834,0.023,12.16,0.022,11.957,0.022,66.173224,43.517746,0.0,,64.0,N_M_WARN,4506.9004,16.48234,3.8179646,0.032412816,19.398748,14.105874,1.0,-0.38321,-0.38321,3.833,176368.57223510742,0.06382216513156891,156.02296599648727,1187792.806442135,0.7274799698629882,0.010395814353928994,2.7767920793577874,1.2537665956446045
